,State Code,County Code,Latitude,Longitude,Date Local,State Name,County Name,City Name,AQI CO,1st Max Value CO,1st Max Hour CO,Arithmetic Mean CO
0,1,73,33.485556,-86.915,2022-01-01,Alabama,Jefferson,Fairfield,0.0,-0.1,5,-0.1
1,1,73,33.485556,-86.915,2022-01-02,Alabama,Jefferson,Fairfield,0.0,0.0,17,-0.070833
2,1,73,33.485556,-86.915,2022-01-03,Alabama,Jefferson,Fairfield,0.0,0.0,0,0.0
3,1,73,33.485556,-86.915,2022-01-04,Alabama,Jefferson,Fairfield,1.0,0.1,7,0.029167
4,1,73,33.485556,-86.915,2022-01-05,Alabama,Jefferson,Fairfield,5.0,0.4,22,0.066667
5,1,73,33.485556,-86.915,2022-01-06,Alabama,Jefferson,Fairfield,7.0,0.6,1,0.245833
6,1,73,33.485556,-86.915,2022-01-07,Alabama,Jefferson,Fairfield,2.0,0.2,23,0.025
7,1,73,33.485556,-86.915,2022-01-08,Alabama,Jefferson,Fairfield,2.0,0.2,0,0.066667
8,1,73,33.485556,-86.915,2022-01-09,Alabama,Jefferson,Fairfield,0.0,0.0,0,-0.033333
9,1,73,33.485556,-86.915,2022-01-10,Alabama,Jefferson,Fairfield,1.0,0.1,19,0.016667
10,1,73,33.485556,-86.915,2022-01-11,Alabama,Jefferson,Fairfield,2.0,0.2,19,0.083333
11,1,73,33.485556,-86.915,2022-01-12,Alabama,Jefferson,Fairfield,5.0,0.4,5,0.279167
12,1,73,33.485556,-86.915,2022-01-13,Alabama,Jefferson,Fairfield,5.0,0.4,0,0.179167
14,1,73,33.485556,-86.915,2022-01-15,Alabama,Jefferson,Fairfield,6.0,0.5,0,0.258333
15,1,73,33.485556,-86.915,2022-01-16,Alabama,Jefferson,Fairfield,1.0,0.1,0,0.008333
17,1,73,33.485556,-86.915,2022-01-18,Alabama,Jefferson,Fairfield,7.0,0.6,7,0.354167
18,1,73,33.485556,-86.915,2022-01-19,Alabama,Jefferson,Fairfield,2.0,0.2,0,0.016667
19,1,73,33.485556,-86.915,2022-01-20,Alabama,Jefferson,Fairfield,0.0,0.0,0,0.0
20,1,73,33.485556,-86.915,2022-01-21,Alabama,Jefferson,Fairfield,1.0,0.1,16,0.033333
21,1,73,33.485556,-86.915,2022-01-22,Alabama,Jefferson,Fairfield,2.0,0.2,22,0.033333
22,1,73,33.485556,-86.915,2022-01-23,Alabama,Jefferson,Fairfield,5.0,0.4,8,0.204167
24,1,73,33.485556,-86.915,2022-01-25,Alabama,Jefferson,Fairfield,1.0,0.1,6,0.0375
26,1,73,33.485556,-86.915,2022-01-27,Alabama,Jefferson,Fairfield,5.0,0.4,23,0.15
27,1,73,33.485556,-86.915,2022-01-28,Alabama,Jefferson,Fairfield,6.0,0.5,1,0.154167
28,1,73,33.485556,-86.915,2022-01-29,Alabama,Jefferson,Fairfield,2.0,0.2,22,0.029167
29,1,73,33.485556,-86.915,2022-01-30,Alabama,Jefferson,Fairfield,3.0,0.3,23,0.070833
