,State Code,County Code,Latitude,Longitude,Date Local,State Name,County Name,City Name,AQI NO2,1st Max Value NO2,1st Max Hour NO2,Arithmetic Mean NO2
0,1,73,33.521427,-86.844112,2022-01-01,Alabama,Jefferson,Birmingham,2,2.5,17,1.479167
1,1,73,33.521427,-86.844112,2022-01-02,Alabama,Jefferson,Birmingham,5,5.3,9,1.920833
2,1,73,33.521427,-86.844112,2022-01-03,Alabama,Jefferson,Birmingham,6,6.2,23,2.604167
3,1,73,33.521427,-86.844112,2022-01-04,Alabama,Jefferson,Birmingham,16,17.9,6,9.34
4,1,73,33.521427,-86.844112,2022-01-05,Alabama,Jefferson,Birmingham,26,28.3,17,14.827778
5,1,73,33.521427,-86.844112,2022-01-06,Alabama,Jefferson,Birmingham,15,16.8,6,8.216667
6,1,73,33.521427,-86.844112,2022-01-07,Alabama,Jefferson,Birmingham,20,21.6,21,7.216667
7,1,73,33.521427,-86.844112,2022-01-08,Alabama,Jefferson,Birmingham,13,14.1,6,7.616667
8,1,73,33.521427,-86.844112,2022-01-09,Alabama,Jefferson,Birmingham,14,15.4,17,4.4375
9,1,73,33.521427,-86.844112,2022-01-10,Alabama,Jefferson,Birmingham,8,8.2,21,3.245833
10,1,73,33.521427,-86.844112,2022-01-11,Alabama,Jefferson,Birmingham,24,25.8,18,12.305556
11,1,73,33.521427,-86.844112,2022-01-12,Alabama,Jefferson,Birmingham,25,27.7,17,19.090909
12,1,73,33.521427,-86.844112,2022-01-13,Alabama,Jefferson,Birmingham,25,26.6,20,14.704167
14,1,73,33.521427,-86.844112,2022-01-15,Alabama,Jefferson,Birmingham,19,20.0,3,10.204167
15,1,73,33.521427,-86.844112,2022-01-16,Alabama,Jefferson,Birmingham,11,12.9,5,3.483333
17,1,73,33.521427,-86.844112,2022-01-18,Alabama,Jefferson,Birmingham,23,24.9,17,14.786667
18,1,73,33.521427,-86.844112,2022-01-19,Alabama,Jefferson,Birmingham,10,11.1,3,7.85
19,1,73,33.521427,-86.844112,2022-01-20,Alabama,Jefferson,Birmingham,6,6.9,1,3.708333
20,1,73,33.521427,-86.844112,2022-01-21,Alabama,Jefferson,Birmingham,6,6.9,4,3.5875
21,1,73,33.521427,-86.844112,2022-01-22,Alabama,Jefferson,Birmingham,19,20.7,21,6.429167
22,1,73,33.521427,-86.844112,2022-01-23,Alabama,Jefferson,Birmingham,23,24.9,21,14.25
24,1,73,33.521427,-86.844112,2022-01-25,Alabama,Jefferson,Birmingham,23,24.0,7,7.668182
26,1,73,33.521427,-86.844112,2022-01-27,Alabama,Jefferson,Birmingham,32,34.1,19,20.804167
27,1,73,33.521427,-86.844112,2022-01-28,Alabama,Jefferson,Birmingham,25,26.0,0,7.7375
28,1,73,33.521427,-86.844112,2022-01-29,Alabama,Jefferson,Birmingham,23,24.1,18,8.4
29,1,73,33.521427,-86.844112,2022-01-30,Alabama,Jefferson,Birmingham,31,33.0,19,13.104167
30,1,73,33.521427,-86.844112,2022-01-31,Alabama,Jefferson,Birmingham,37,39.6,18,24.854167
31,1,73,33.521427,-86.844112,2022-02-01,Alabama,Jefferson,Birmingham,30,32.5,1,16.2375
32,1,73,33.521427,-86.844112,2022-02-02,Alabama,Jefferson,Birmingham,16,17.3,20,8.333333
33,1,73,33.521427,-86.844112,2022-02-03,Alabama,Jefferson,Birmingham,11,12.6,17,6.333333
34,1,73,33.521427,-86.844112,2022-02-04,Alabama,Jefferson,Birmingham,5,5.1,7,3.105556
35,1,73,33.521427,-86.844112,2022-02-05,Alabama,Jefferson,Birmingham,20,21.7,23,6.304167
36,1,73,33.521427,-86.844112,2022-02-06,Alabama,Jefferson,Birmingham,29,31.1,19,16.229167
37,1,73,33.521427,-86.844112,2022-02-07,Alabama,Jefferson,Birmingham,29,31.1,21,16.779167
38,1,73,33.521427,-86.844112,2022-02-08,Alabama,Jefferson,Birmingham,28,30.7,19,16.172727
39,1,73,33.521427,-86.844112,2022-02-09,Alabama,Jefferson,Birmingham,25,26.8,18,17.954545
40,1,73,33.521427,-86.844112,2022-02-10,Alabama,Jefferson,Birmingham,28,30.9,20,20.191667
41,1,73,33.521427,-86.844112,2022-02-11,Alabama,Jefferson,Birmingham,37,39.7,18,18.554167
42,1,73,33.521427,-86.844112,2022-02-12,Alabama,Jefferson,Birmingham,15,16.1,7,4.441667
43,1,73,33.521427,-86.844112,2022-02-13,Alabama,Jefferson,Birmingham,21,22.6,22,5.133333
44,1,73,33.521427,-86.844112,2022-02-14,Alabama,Jefferson,Birmingham,28,30.5,19,18.508333
45,1,73,33.521427,-86.844112,2022-02-15,Alabama,Jefferson,Birmingham,25,26.5,8,13.131818
46,1,73,33.521427,-86.844112,2022-02-16,Alabama,Jefferson,Birmingham,9,10.1,7,6.804545
47,1,73,33.521427,-86.844112,2022-02-17,Alabama,Jefferson,Birmingham,8,9.6,20,4.047368
48,1,73,33.521427,-86.844112,2022-02-18,Alabama,Jefferson,Birmingham,19,20.0,22,4.7
49,1,73,33.521427,-86.844112,2022-02-19,Alabama,Jefferson,Birmingham,26,28.8,22,11.570833
50,1,73,33.521427,-86.844112,2022-02-20,Alabama,Jefferson,Birmingham,25,26.8,19,12.979167
51,1,73,33.521427,-86.844112,2022-02-21,Alabama,Jefferson,Birmingham,19,20.8,6,10.975
52,1,73,33.521427,-86.844112,2022-02-22,Alabama,Jefferson,Birmingham,8,9.0,10,5.772727
53,1,73,33.521427,-86.844112,2022-02-23,Alabama,Jefferson,Birmingham,8,9.0,19,4.25
54,1,73,33.521427,-86.844112,2022-02-24,Alabama,Jefferson,Birmingham,16,17.3,18,7.341667
55,1,73,33.521427,-86.844112,2022-02-25,Alabama,Jefferson,Birmingham,7,7.0,17,3.104167
56,1,73,33.521427,-86.844112,2022-02-26,Alabama,Jefferson,Birmingham,8,9.4,18,4.345833
57,1,73,33.521427,-86.844112,2022-02-27,Alabama,Jefferson,Birmingham,8,9.4,7,4.341667
58,1,73,33.521427,-86.844112,2022-02-28,Alabama,Jefferson,Birmingham,26,28.2,22,9.083333
59,1,73,33.521427,-86.844112,2022-03-01,Alabama,Jefferson,Birmingham,28,30.0,18,16.554545
60,1,73,33.521427,-86.844112,2022-03-02,Alabama,Jefferson,Birmingham,39,41.4,18,20.859091
61,1,73,33.521427,-86.844112,2022-03-03,Alabama,Jefferson,Birmingham,40,42.1,18,27.115
62,1,73,33.521427,-86.844112,2022-03-04,Alabama,Jefferson,Birmingham,42,45.7,20,21.295238
63,1,73,33.521427,-86.844112,2022-03-05,Alabama,Jefferson,Birmingham,30,32.7,2,10.008333
64,1,73,33.521427,-86.844112,2022-03-06,Alabama,Jefferson,Birmingham,19,20.4,18,5.720833
65,1,73,33.521427,-86.844112,2022-03-07,Alabama,Jefferson,Birmingham,6,6.1,6,3.186667
66,1,73,33.521427,-86.844112,2022-03-08,Alabama,Jefferson,Birmingham,7,7.5,17,5.193333
67,1,73,33.521427,-86.844112,2022-03-09,Alabama,Jefferson,Birmingham,8,8.8,1,4.3375
68,1,73,33.521427,-86.844112,2022-03-10,Alabama,Jefferson,Birmingham,30,32.0,20,11.0625
69,1,73,33.521427,-86.844112,2022-03-11,Alabama,Jefferson,Birmingham,21,22.3,4,11.533333
70,1,73,33.521427,-86.844112,2022-03-12,Alabama,Jefferson,Birmingham,6,6.8,23,2.216667
71,1,73,33.521427,-86.844112,2022-03-13,Alabama,Jefferson,Birmingham,30,32.5,20,16.029167
72,1,73,33.521427,-86.844112,2022-03-14,Alabama,Jefferson,Birmingham,28,30.8,4,16.758333
73,1,73,33.521427,-86.844112,2022-03-15,Alabama,Jefferson,Birmingham,27,29.7,1,12.111111
74,1,73,33.521427,-86.844112,2022-03-16,Alabama,Jefferson,Birmingham,28,30.6,18,17.029167
75,1,73,33.521427,-86.844112,2022-03-17,Alabama,Jefferson,Birmingham,29,31.6,20,14.7
76,1,73,33.521427,-86.844112,2022-03-18,Alabama,Jefferson,Birmingham,13,14.6,7,7.541667
77,1,73,33.521427,-86.844112,2022-03-19,Alabama,Jefferson,Birmingham,25,27.1,20,8.058333
78,1,73,33.521427,-86.844112,2022-03-20,Alabama,Jefferson,Birmingham,28,30.3,22,10.470833
79,1,73,33.521427,-86.844112,2022-03-21,Alabama,Jefferson,Birmingham,26,28.8,6,13.579167
