,State Code,County Code,Latitude,Longitude,Date Local,State Name,County Name,City Name,AQI Ozone,1st Max Value Ozone,1st Max Hour Ozone,Arithmetic Mean Ozone
0,1,3,30.497478,-87.880258,2022-02-28,Alabama,Baldwin,Fairhope,35.0,0.038,23,0.038
1,1,3,30.497478,-87.880258,2022-03-01,Alabama,Baldwin,Fairhope,50.0,0.054,12,0.0373885
2,1,3,30.497478,-87.880258,2022-03-02,Alabama,Baldwin,Fairhope,51.0,0.055,12,0.03543
3,1,3,30.497478,-87.880258,2022-03-03,Alabama,Baldwin,Fairhope,40.0,0.043,15,0.023381
4,1,3,30.497478,-87.880258,2022-03-04,Alabama,Baldwin,Fairhope,77.0,0.063,10,0.04624
5,1,3,30.497478,-87.880258,2022-03-05,Alabama,Baldwin,Fairhope,41.0,0.044,9,0.0391765
6,1,3,30.497478,-87.880258,2022-03-06,Alabama,Baldwin,Fairhope,31.0,0.033,7,0.029824
7,1,3,30.497478,-87.880258,2022-03-06,Alabama,Baldwin,Fairhope,31.0,0.034,4,0.030667
8,1,3,30.497478,-87.880258,2022-03-07,Alabama,Baldwin,Fairhope,27.0,0.029,9,0.027624
9,1,3,30.497478,-87.880258,2022-03-08,Alabama,Baldwin,Fairhope,19.0,0.02,11,0.018118
10,1,3,30.497478,-87.880258,2022-03-08,Alabama,Baldwin,Fairhope,21.0,0.023,0,0.018417
11,1,3,30.497478,-87.880258,2022-03-09,Alabama,Baldwin,Fairhope,20.0,0.022,12,0.0185135
12,1,3,30.497478,-87.880258,2022-03-10,Alabama,Baldwin,Fairhope,34.0,0.037,10,0.026136
14,1,3,30.497478,-87.880258,2022-03-12,Alabama,Baldwin,Fairhope,40.0,0.043,10,0.0385994999999999
15,1,3,30.497478,-87.880258,2022-03-13,Alabama,Baldwin,Fairhope,42.0,0.045,10,0.032635
17,1,3,30.497478,-87.880258,2022-03-15,Alabama,Baldwin,Fairhope,40.0,0.043,11,0.0389155
18,1,3,30.497478,-87.880258,2022-03-16,Alabama,Baldwin,Fairhope,38.0,0.041,11,0.029761
19,1,3,30.497478,-87.880258,2022-03-17,Alabama,Baldwin,Fairhope,42.0,0.045,11,0.037537
20,1,3,30.497478,-87.880258,2022-03-18,Alabama,Baldwin,Fairhope,32.0,0.035,22,0.029941
21,1,3,30.497478,-87.880258,2022-03-18,Alabama,Baldwin,Fairhope,35.0,0.038,0,0.030625
22,1,3,30.497478,-87.880258,2022-03-19,Alabama,Baldwin,Fairhope,38.0,0.041,9,0.0365194999999999
24,1,3,30.497478,-87.880258,2022-03-21,Alabama,Baldwin,Fairhope,45.0,0.049,10,0.043342
26,1,3,30.497478,-87.880258,2022-03-22,Alabama,Baldwin,Fairhope,45.0,0.049,0,0.037042
27,1,3,30.497478,-87.880258,2022-03-23,Alabama,Baldwin,Fairhope,41.0,0.044,13,0.03718
28,1,3,30.497478,-87.880258,2022-03-24,Alabama,Baldwin,Fairhope,50.0,0.054,13,0.0472215
29,1,3,30.497478,-87.880258,2022-03-25,Alabama,Baldwin,Fairhope,51.0,0.055,11,0.0461204999999999
30,1,3,30.497478,-87.880258,2022-03-26,Alabama,Baldwin,Fairhope,45.0,0.049,11,0.0425525
31,1,3,30.497478,-87.880258,2022-03-27,Alabama,Baldwin,Fairhope,87.0,0.066,12,0.054566
32,1,3,30.497478,-87.880258,2022-03-28,Alabama,Baldwin,Fairhope,46.0,0.05,7,0.046809
33,1,3,30.497478,-87.880258,2022-03-29,Alabama,Baldwin,Fairhope,44.0,0.048,23,0.0385785
34,1,3,30.497478,-87.880258,2022-03-30,Alabama,Baldwin,Fairhope,48.0,0.052,7,0.044471
35,1,3,30.497478,-87.880258,2022-03-30,Alabama,Baldwin,Fairhope,49.0,0.053,3,0.04675
36,1,3,30.497478,-87.880258,2022-03-31,Alabama,Baldwin,Fairhope,41.0,0.044,10,0.033249
37,1,3,30.497478,-87.880258,2022-04-01,Alabama,Baldwin,Fairhope,44.0,0.048,11,0.0337305
38,1,3,30.497478,-87.880258,2022-04-02,Alabama,Baldwin,Fairhope,34.0,0.037,11,0.023923
39,1,3,30.497478,-87.880258,2022-04-03,Alabama,Baldwin,Fairhope,45.0,0.049,11,0.0312745
40,1,3,30.497478,-87.880258,2022-04-04,Alabama,Baldwin,Fairhope,48.0,0.052,9,0.0420085
41,1,3,30.497478,-87.880258,2022-04-05,Alabama,Baldwin,Fairhope,38.0,0.041,11,0.030819
42,1,3,30.497478,-87.880258,2022-04-06,Alabama,Baldwin,Fairhope,34.0,0.037,23,0.024184
43,1,3,30.497478,-87.880258,2022-04-07,Alabama,Baldwin,Fairhope,43.0,0.046,9,0.0416114999999999
44,1,3,30.497478,-87.880258,2022-04-08,Alabama,Baldwin,Fairhope,44.0,0.048,11,0.0406765
45,1,3,30.497478,-87.880258,2022-04-09,Alabama,Baldwin,Fairhope,44.0,0.048,12,0.0359914999999999
46,1,3,30.497478,-87.880258,2022-04-10,Alabama,Baldwin,Fairhope,51.0,0.055,10,0.0425525
47,1,3,30.497478,-87.880258,2022-04-11,Alabama,Baldwin,Fairhope,43.0,0.046,9,0.040353
48,1,3,30.497478,-87.880258,2022-04-12,Alabama,Baldwin,Fairhope,35.0,0.038,8,0.0352819999999999
49,1,3,30.497478,-87.880258,2022-04-13,Alabama,Baldwin,Fairhope,33.0,0.036,23,0.0326975
50,1,3,30.497478,-87.880258,2022-04-14,Alabama,Baldwin,Fairhope,37.0,0.04,10,0.030604
51,1,3,30.497478,-87.880258,2022-04-15,Alabama,Baldwin,Fairhope,42.0,0.045,10,0.0355064999999999
52,1,3,30.497478,-87.880258,2022-04-16,Alabama,Baldwin,Fairhope,24.0,0.026,17,0.023048
53,1,3,30.497478,-87.880258,2022-04-17,Alabama,Baldwin,Fairhope,29.0,0.031,21,0.026734
54,1,3,30.497478,-87.880258,2022-04-18,Alabama,Baldwin,Fairhope,31.0,0.033,20,0.029636
55,1,3,30.497478,-87.880258,2022-04-19,Alabama,Baldwin,Fairhope,41.0,0.044,9,0.033979
56,1,3,30.497478,-87.880258,2022-04-20,Alabama,Baldwin,Fairhope,44.0,0.048,9,0.043624
57,1,3,30.497478,-87.880258,2022-04-21,Alabama,Baldwin,Fairhope,43.0,0.046,10,0.036058
58,1,3,30.497478,-87.880258,2022-04-22,Alabama,Baldwin,Fairhope,37.0,0.04,8,0.0318675
59,1,3,30.497478,-87.880258,2022-04-23,Alabama,Baldwin,Fairhope,37.0,0.04,8,0.0326865
60,1,3,30.497478,-87.880258,2022-04-24,Alabama,Baldwin,Fairhope,34.0,0.037,9,0.0301985
61,1,3,30.497478,-87.880258,2022-04-25,Alabama,Baldwin,Fairhope,31.0,0.034,9,0.0220549999999999
62,1,3,30.497478,-87.880258,2022-04-26,Alabama,Baldwin,Fairhope,26.0,0.028,11,0.0244549999999999
63,1,3,30.497478,-87.880258,2022-04-27,Alabama,Baldwin,Fairhope,46.0,0.05,12,0.0415635
64,1,3,30.497478,-87.880258,2022-04-28,Alabama,Baldwin,Fairhope,45.0,0.049,9,0.0356105
65,1,3,30.497478,-87.880258,2022-04-29,Alabama,Baldwin,Fairhope,41.0,0.044,8,0.034747
66,1,3,30.497478,-87.880258,2022-04-30,Alabama,Baldwin,Fairhope,33.0,0.036,10,0.0311765
67,1,3,30.497478,-87.880258,2022-05-01,Alabama,Baldwin,Fairhope,33.0,0.036,9,0.0300404999999999
68,1,3,30.497478,-87.880258,2022-05-02,Alabama,Baldwin,Fairhope,29.0,0.031,8,0.0239144999999999
69,1,3,30.497478,-87.880258,2022-05-03,Alabama,Baldwin,Fairhope,32.0,0.035,7,0.020859
70,1,3,30.497478,-87.880258,2022-05-04,Alabama,Baldwin,Fairhope,22.0,0.024,8,0.014588
71,1,3,30.497478,-87.880258,2022-05-05,Alabama,Baldwin,Fairhope,24.0,0.026,23,0.0206495
72,1,3,30.497478,-87.880258,2022-05-06,Alabama,Baldwin,Fairhope,41.0,0.044,14,0.037652
73,1,3,30.497478,-87.880258,2022-05-07,Alabama,Baldwin,Fairhope,58.0,0.057,11,0.0441435
74,1,3,30.497478,-87.880258,2022-05-08,Alabama,Baldwin,Fairhope,46.0,0.05,11,0.0357525
75,1,3,30.497478,-87.880258,2022-05-09,Alabama,Baldwin,Fairhope,39.0,0.042,9,0.0320025
76,1,3,30.497478,-87.880258,2022-05-10,Alabama,Baldwin,Fairhope,45.0,0.049,9,0.0315195
77,1,3,30.497478,-87.880258,2022-05-11,Alabama,Baldwin,Fairhope,77.0,0.063,12,0.0450075
78,1,3,30.497478,-87.880258,2022-05-12,Alabama,Baldwin,Fairhope,80.0,0.064,10,0.042342
79,1,3,30.497478,-87.880258,2022-05-13,Alabama,Baldwin,Fairhope,51.0,0.055,9,0.0442685
80,1,3,30.497478,-87.880258,2022-05-14,Alabama,Baldwin,Fairhope,64.0,0.059,9,0.0424309999999999
81,1,3,30.497478,-87.880258,2022-05-15,Alabama,Baldwin,Fairhope,51.0,0.055,10,0.0437455
82,1,3,30.497478,-87.880258,2022-05-16,Alabama,Baldwin,Fairhope,51.0,0.055,13,0.041499
83,1,3,30.497478,-87.880258,2022-05-17,Alabama,Baldwin,Fairhope,54.0,0.056,11,0.0446325
84,1,3,30.497478,-87.880258,2022-05-18,Alabama,Baldwin,Fairhope,41.0,0.044,16,0.0403815
85,1,3,30.497478,-87.880258,2022-05-19,Alabama,Baldwin,Fairhope,39.0,0.042,5,0.039292
86,1,3,30.497478,-87.880258,2022-05-19,Alabama,Baldwin,Fairhope,39.0,0.042,7,0.038647
87,1,3,30.497478,-87.880258,2022-05-20,Alabama,Baldwin,Fairhope,28.0,0.03,7,0.022176
88,1,3,30.497478,-87.880258,2022-05-20,Alabama,Baldwin,Fairhope,33.0,0.036,0,0.025417
89,1,3,30.497478,-87.880258,2022-05-21,Alabama,Baldwin,Fairhope,38.0,0.041,12,0.02992
90,1,3,30.497478,-87.880258,2022-05-22,Alabama,Baldwin,Fairhope,24.0,0.026,6,0.02125
91,1,3,30.497478,-87.880258,2022-05-22,Alabama,Baldwin,Fairhope,24.0,0.026,7,0.021118
92,1,3,30.497478,-87.880258,2022-05-23,Alabama,Baldwin,Fairhope,27.0,0.029,9,0.0216605
93,1,3,30.497478,-87.880258,2022-05-24,Alabama,Baldwin,Fairhope,19.0,0.021,20,0.0177895
94,1,3,30.497478,-87.880258,2022-05-25,Alabama,Baldwin,Fairhope,20.0,0.022,8,0.020565
95,1,3,30.497478,-87.880258,2022-05-26,Alabama,Baldwin,Fairhope,38.0,0.041,23,0.032266
96,1,3,30.497478,-87.880258,2022-05-27,Alabama,Baldwin,Fairhope,61.0,0.058,4,0.043292
97,1,3,30.497478,-87.880258,2022-05-27,Alabama,Baldwin,Fairhope,61.0,0.058,7,0.039176
98,1,3,30.497478,-87.880258,2022-05-28,Alabama,Baldwin,Fairhope,44.0,0.047,11,0.030287
99,1,3,30.497478,-87.880258,2022-05-29,Alabama,Baldwin,Fairhope,41.0,0.044,8,0.031391
100,1,3,30.497478,-87.880258,2022-05-30,Alabama,Baldwin,Fairhope,47.0,0.051,8,0.034315
102,1,3,30.497478,-87.880258,2022-06-01,Alabama,Baldwin,Fairhope,34.0,0.037,12,0.026694
103,1,3,30.497478,-87.880258,2022-06-02,Alabama,Baldwin,Fairhope,45.0,0.049,9,0.0333445
104,1,3,30.497478,-87.880258,2022-06-03,Alabama,Baldwin,Fairhope,31.0,0.034,8,0.0274729999999999
105,1,3,30.497478,-87.880258,2022-06-04,Alabama,Baldwin,Fairhope,40.0,0.043,9,0.035273
106,1,3,30.497478,-87.880258,2022-06-05,Alabama,Baldwin,Fairhope,42.0,0.045,11,0.035615
107,1,3,30.497478,-87.880258,2022-06-06,Alabama,Baldwin,Fairhope,41.0,0.044,12,0.0329375
108,1,3,30.497478,-87.880258,2022-06-07,Alabama,Baldwin,Fairhope,31.0,0.034,10,0.028565
109,1,3,30.497478,-87.880258,2022-06-08,Alabama,Baldwin,Fairhope,24.0,0.026,8,0.0244955
110,1,3,30.497478,-87.880258,2022-06-09,Alabama,Baldwin,Fairhope,31.0,0.034,9,0.023854
