,State Code,County Code,Latitude,Longitude,Date Local,State Name,County Name,City Name,AQI PM 2.5,1st Max Value PM 2.5,1st Max Hour PM 2.5,Arithmetic Mean PM 2.5
0,1,3,30.497478,-87.880258,2022-01-02,Alabama,Baldwin,Fairhope,22.0,5.3,0,5.3
1,1,3,30.497478,-87.880258,2022-01-05,Alabama,Baldwin,Fairhope,36.0,8.6,0,8.6
2,1,3,30.497478,-87.880258,2022-01-08,Alabama,Baldwin,Fairhope,35.0,8.5,0,8.5
3,1,3,30.497478,-87.880258,2022-01-11,Alabama,Baldwin,Fairhope,15.0,3.7,0,3.7
4,1,3,30.497478,-87.880258,2022-01-14,Alabama,Baldwin,Fairhope,48.0,11.6,0,11.6
5,1,3,30.497478,-87.880258,2022-01-17,Alabama,Baldwin,Fairhope,23.0,5.5,0,5.5
6,1,3,30.497478,-87.880258,2022-01-20,Alabama,Baldwin,Fairhope,11.0,2.6,0,2.6
7,1,3,30.497478,-87.880258,2022-01-23,Alabama,Baldwin,Fairhope,30.0,7.1,0,7.1
8,1,3,30.497478,-87.880258,2022-01-26,Alabama,Baldwin,Fairhope,24.0,5.7,0,5.7
9,1,3,30.497478,-87.880258,2022-01-29,Alabama,Baldwin,Fairhope,18.0,4.4,0,4.4
10,1,3,30.497478,-87.880258,2022-02-04,Alabama,Baldwin,Fairhope,13.0,3.0,0,3.0
11,1,3,30.497478,-87.880258,2022-02-07,Alabama,Baldwin,Fairhope,41.0,9.8,0,9.8
12,1,3,30.497478,-87.880258,2022-02-10,Alabama,Baldwin,Fairhope,45.0,10.8,0,10.8
14,1,3,30.497478,-87.880258,2022-02-16,Alabama,Baldwin,Fairhope,39.0,9.3,0,9.3
15,1,3,30.497478,-87.880258,2022-02-19,Alabama,Baldwin,Fairhope,26.0,6.2,0,6.2
17,1,3,30.497478,-87.880258,2022-02-25,Alabama,Baldwin,Fairhope,14.0,3.3,0,3.3
18,1,3,30.497478,-87.880258,2022-02-28,Alabama,Baldwin,Fairhope,23.0,5.6,0,5.6
19,1,3,30.497478,-87.880258,2022-03-03,Alabama,Baldwin,Fairhope,54.0,13.3,0,13.3
20,1,3,30.497478,-87.880258,2022-03-06,Alabama,Baldwin,Fairhope,30.0,7.3,0,7.3
21,1,3,30.497478,-87.880258,2022-03-09,Alabama,Baldwin,Fairhope,14.0,3.4,0,3.4
22,1,3,30.497478,-87.880258,2022-03-15,Alabama,Baldwin,Fairhope,19.0,4.6,0,4.6
24,1,3,30.497478,-87.880258,2022-03-21,Alabama,Baldwin,Fairhope,20.0,4.7,0,4.7
26,1,3,30.497478,-87.880258,2022-03-27,Alabama,Baldwin,Fairhope,35.0,8.5,0,8.5
27,1,3,30.497478,-87.880258,2022-03-30,Alabama,Baldwin,Fairhope,51.0,12.2,0,12.2
28,1,3,30.497478,-87.880258,2022-04-02,Alabama,Baldwin,Fairhope,34.0,8.2,0,8.2
29,1,3,30.497478,-87.880258,2022-04-05,Alabama,Baldwin,Fairhope,25.0,6.0,0,6.0
30,1,3,30.497478,-87.880258,2022-04-08,Alabama,Baldwin,Fairhope,35.0,8.5,0,8.5
31,1,3,30.497478,-87.880258,2022-04-11,Alabama,Baldwin,Fairhope,23.0,5.4,0,5.4
32,1,3,30.497478,-87.880258,2022-04-14,Alabama,Baldwin,Fairhope,20.0,4.8,0,4.8
33,1,3,30.497478,-87.880258,2022-04-17,Alabama,Baldwin,Fairhope,24.0,5.7,0,5.7
34,1,3,30.497478,-87.880258,2022-04-20,Alabama,Baldwin,Fairhope,28.0,6.8,0,6.8
35,1,3,30.497478,-87.880258,2022-04-23,Alabama,Baldwin,Fairhope,34.0,8.1,0,8.1
36,1,3,30.497478,-87.880258,2022-04-26,Alabama,Baldwin,Fairhope,30.0,7.3,0,7.3
37,1,3,30.497478,-87.880258,2022-04-29,Alabama,Baldwin,Fairhope,31.0,7.5,0,7.5
38,1,3,30.497478,-87.880258,2022-05-02,Alabama,Baldwin,Fairhope,23.0,5.4,0,5.4
39,1,3,30.497478,-87.880258,2022-05-08,Alabama,Baldwin,Fairhope,30.0,7.2,0,7.2
40,1,3,30.497478,-87.880258,2022-05-11,Alabama,Baldwin,Fairhope,43.0,10.3,0,10.3
41,1,3,30.497478,-87.880258,2022-05-14,Alabama,Baldwin,Fairhope,36.0,8.6,0,8.6
42,1,3,30.497478,-87.880258,2022-05-17,Alabama,Baldwin,Fairhope,51.0,12.3,0,12.3
43,1,3,30.497478,-87.880258,2022-05-20,Alabama,Baldwin,Fairhope,30.0,7.2,0,7.2
44,1,3,30.497478,-87.880258,2022-05-23,Alabama,Baldwin,Fairhope,56.0,14.5,0,14.5
45,1,3,30.497478,-87.880258,2022-05-26,Alabama,Baldwin,Fairhope,17.0,4.1,0,4.1
46,1,3,30.497478,-87.880258,2022-05-29,Alabama,Baldwin,Fairhope,31.0,7.5,0,7.5
47,1,3,30.497478,-87.880258,2022-06-01,Alabama,Baldwin,Fairhope,25.0,6.1,0,6.1
48,1,3,30.497478,-87.880258,2022-06-04,Alabama,Baldwin,Fairhope,33.0,7.9,0,7.9
49,1,3,30.497478,-87.880258,2022-06-07,Alabama,Baldwin,Fairhope,28.0,6.6,0,6.6
50,1,3,30.497478,-87.880258,2022-06-10,Alabama,Baldwin,Fairhope,27.0,6.5,0,6.5
51,1,3,30.497478,-87.880258,2022-06-13,Alabama,Baldwin,Fairhope,96.0,33.6,0,33.6
52,1,3,30.497478,-87.880258,2022-06-16,Alabama,Baldwin,Fairhope,59.0,15.7,0,15.7
53,1,3,30.497478,-87.880258,2022-06-19,Alabama,Baldwin,Fairhope,40.0,9.6,0,9.6
54,1,3,30.497478,-87.880258,2022-06-22,Alabama,Baldwin,Fairhope,43.0,10.4,0,10.4
55,1,3,30.497478,-87.880258,2022-06-25,Alabama,Baldwin,Fairhope,52.0,12.5,0,12.5
56,1,3,30.497478,-87.880258,2022-06-28,Alabama,Baldwin,Fairhope,33.0,8.0,0,8.0
57,1,3,30.497478,-87.880258,2022-07-01,Alabama,Baldwin,Fairhope,14.0,3.3,0,3.3
58,1,3,30.497478,-87.880258,2022-07-04,Alabama,Baldwin,Fairhope,33.0,7.9,0,7.9
59,1,3,30.497478,-87.880258,2022-07-07,Alabama,Baldwin,Fairhope,13.0,3.2,0,3.2
60,1,3,30.497478,-87.880258,2022-07-10,Alabama,Baldwin,Fairhope,18.0,4.4,0,4.4
61,1,3,30.497478,-87.880258,2022-07-13,Alabama,Baldwin,Fairhope,12.0,2.9,0,2.9
62,1,3,30.497478,-87.880258,2022-07-16,Alabama,Baldwin,Fairhope,18.0,4.4,0,4.4
63,1,3,30.497478,-87.880258,2022-07-19,Alabama,Baldwin,Fairhope,23.0,5.6,0,5.6
64,1,3,30.497478,-87.880258,2022-07-22,Alabama,Baldwin,Fairhope,21.0,5.1,0,5.1
65,1,3,30.497478,-87.880258,2022-07-25,Alabama,Baldwin,Fairhope,23.0,5.6,0,5.6
66,1,3,30.497478,-87.880258,2022-07-28,Alabama,Baldwin,Fairhope,15.0,3.7,0,3.7
67,1,3,30.497478,-87.880258,2022-07-31,Alabama,Baldwin,Fairhope,39.0,9.4,0,9.4
68,1,3,30.497478,-87.880258,2022-08-03,Alabama,Baldwin,Fairhope,12.0,2.8,0,2.8
69,1,3,30.497478,-87.880258,2022-08-06,Alabama,Baldwin,Fairhope,30.0,7.1,0,7.1
70,1,3,30.497478,-87.880258,2022-08-09,Alabama,Baldwin,Fairhope,17.0,4.1,0,4.1
71,1,3,30.497478,-87.880258,2022-08-12,Alabama,Baldwin,Fairhope,20.0,4.9,0,4.9
72,1,3,30.497478,-87.880258,2022-08-15,Alabama,Baldwin,Fairhope,50.0,12.0,0,12.0
73,1,3,30.497478,-87.880258,2022-08-18,Alabama,Baldwin,Fairhope,19.0,4.6,0,4.6
74,1,3,30.497478,-87.880258,2022-08-21,Alabama,Baldwin,Fairhope,19.0,4.5,0,4.5
75,1,3,30.497478,-87.880258,2022-08-24,Alabama,Baldwin,Fairhope,13.0,3.2,0,3.2
76,1,3,30.497478,-87.880258,2022-08-27,Alabama,Baldwin,Fairhope,15.0,3.6,0,3.6
77,1,3,30.497478,-87.880258,2022-08-30,Alabama,Baldwin,Fairhope,28.0,6.6,0,6.6
78,1,3,30.497478,-87.880258,2022-09-02,Alabama,Baldwin,Fairhope,34.0,8.2,0,8.2
79,1,3,30.497478,-87.880258,2022-09-05,Alabama,Baldwin,Fairhope,28.0,6.6,0,6.6
80,1,3,30.497478,-87.880258,2022-09-08,Alabama,Baldwin,Fairhope,33.0,7.8,0,7.8
81,1,3,30.497478,-87.880258,2022-09-11,Alabama,Baldwin,Fairhope,13.0,3.2,0,3.2
82,1,3,30.497478,-87.880258,2022-09-14,Alabama,Baldwin,Fairhope,38.0,9.1,0,9.1
83,1,3,30.497478,-87.880258,2022-09-17,Alabama,Baldwin,Fairhope,30.0,7.1,0,7.1
84,1,3,30.497478,-87.880258,2022-09-20,Alabama,Baldwin,Fairhope,56.0,14.6,0,14.6
85,1,3,30.497478,-87.880258,2022-09-23,Alabama,Baldwin,Fairhope,40.0,9.6,0,9.6
86,1,3,30.497478,-87.880258,2022-09-26,Alabama,Baldwin,Fairhope,45.0,10.7,0,10.7
87,1,3,30.497478,-87.880258,2022-09-29,Alabama,Baldwin,Fairhope,16.0,3.9,0,3.9
88,1,3,30.497478,-87.880258,2022-10-02,Alabama,Baldwin,Fairhope,20.0,4.9,0,4.9
89,1,3,30.497478,-87.880258,2022-10-05,Alabama,Baldwin,Fairhope,30.0,7.3,0,7.3
90,1,3,30.497478,-87.880258,2022-10-08,Alabama,Baldwin,Fairhope,45.0,10.8,0,10.8
91,1,3,30.497478,-87.880258,2022-10-11,Alabama,Baldwin,Fairhope,40.0,9.7,0,9.7
92,1,3,30.497478,-87.880258,2022-10-14,Alabama,Baldwin,Fairhope,33.0,7.9,0,7.9
93,1,3,30.497478,-87.880258,2022-10-17,Alabama,Baldwin,Fairhope,43.0,10.3,0,10.3
